Name,Sell,Where/How,Weather,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Color 1,Color 2,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
robust cicada,300,On hardwood/cedar trees,Any weather,0,70,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Blue,Ins18,InsectMinminzemi,FtrInsectMinminzemi,621,cd5ymnRmRvT4n4yjB
rosalia batesi beetle,3000,On tree stumps,Any except rain,20,2,NA,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,Blue,Black,Ins82,InsectRuriboshikamikiri,FtrInsectRuriboshikamikiri,3487,MSTA9vdJmGoDDADrF
saw stag,2000,On trees (any kind),Any weather,0,20,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,Black,Ins46,InsectNokogirikuwagata,FtrInsectNokogirikuwagata,632,YQq3iSiBcBAHTWxc2
scarab beetle,10000,On trees (any kind),Any weather,50,3,NA,NA,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Beige,Ins43,InsectPurachinakogane,FtrInsectPurachinakogane,639,2HXdFD8s6BmYYMf4u
scorpion,8000,On the ground,Any weather,0,2,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,Black,Black,Ins63,InsectSasori,FtrInsectSasori,640,xMzHsHbjvvicZvYxg
snail,250,On rocks/bushes,Rain only,0,20,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Beige,Green,Ins29,InsectKatatsumuri,FtrInsectKatatsumuri,611,rDNLeQnmJQGxsHpmL
spider,600,Shaking trees (hardwood or cedar only),Any weather,0,30,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,Yellow,Orange,Ins61,InsectKumo,FtrInsectKumo,619,s2u8kDoMQx7GbAJTR
stinkbug,120,On flowers,Any except rain,0,40,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,Green,Yellow,Ins64,InsectKamemushi,FtrInsectKamemushi,608,4u5GZ4z3CyaHhMgqj
tarantula,8000,On the ground,Any weather,0,2,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,Brown,Black,Ins62,InsectTaranchura,FtrInsectTaranchura,646,4mto3ZvrZYpJxbm4c
tiger beetle,1500,On the ground,Any except rain,20,15,NA,All day,All day,All day,All day,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,All day,All day,Green,Yellow,Ins70,InsectHanmyou,FtrInsectHanmyou,599,zzGvu3797KnMb4LCD
tiger butterfly,240,Flying,Any except rain,0,40,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,Yellow,Green,Ins2,InsectAgehacho,FtrInsectAgehacho,583,GcSpepwg536mYnNuu
violin beetle,450,On tree stumps,Any except rain,0,10,NA,NA,NA,NA,All day,All day,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,All day,All day,Brown,Black,Ins38,InsectBaiorinmushi,FtrInsectBaiorinmushi,650,poAcys5Mr35ELp5PS
walker cicada,400,On hardwood/cedar trees,Any weather,0,40,NA,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Pink,Ins19,InsectTsukutsukuhousi,FtrInsectTsukutsukuhousi,649,QdrL4K7seJHvd4ZZM
walking leaf,600,Disguised under trees,Any weather,20,10,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,Green,Ins34,InsectKonohamushi,FtrInsectKonohamushi,616,kuZaMcg2E7ZX56nio
walking stick,600,On trees (any kind),Any weather,20,10,NA,NA,NA,NA,NA,NA,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,NA,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,NA,NA,NA,NA,NA,NA,NA,Brown,Yellow,Ins35,InsectNanafushi,FtrInsectNanafushi,630,WQjgrjYotbwH59vXG
wasp,2500,Shaking trees,Any weather,0,0,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Yellow,Orange,Ins12,InsectHachi,FtrInsectHachi,643,ZEfBHqM6pFEddBezw
wharf roach,200,On beach rocks,Any weather,0,20,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Beige,Blue,Ins71,InsectFunamushi,FtrInsectFunamushi,591,2fp9ChfPuPdYefTK3
yellow butterfly,160,Flying,Any except rain,0,60,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,Yellow,Blue,Ins1,InsectMonkicho,FtrInsectMonkicho,625,9d92MqgcnGao8wQjB
